"priority","familyId","familyLabel","fileName","destination","view","prompt"
"1","starter","Démarreur","generic-01.webp",".\public\media\parts\starter\generic-01.webp","Vue 3/4 avant","Photo catalogue photoréaliste d’un(e) Démarreur, Vue 3/4 avant, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"2","starter","Démarreur","generic-02.webp",".\public\media\parts\starter\generic-02.webp","Vue arrière","Photo catalogue photoréaliste d’un(e) Démarreur, Vue arrière, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"3","starter","Démarreur","generic-03.webp",".\public\media\parts\starter\generic-03.webp","Pignon et solénoïde","Photo catalogue photoréaliste d’un(e) Démarreur, Pignon et solénoïde, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"4","alternator","Alternateur","generic-01.webp",".\public\media\parts\alternator\generic-01.webp","Vue 3/4 avant","Photo catalogue photoréaliste d’un(e) Alternateur, Vue 3/4 avant, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"5","alternator","Alternateur","generic-02.webp",".\public\media\parts\alternator\generic-02.webp","Vue arrière","Photo catalogue photoréaliste d’un(e) Alternateur, Vue arrière, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"6","alternator","Alternateur","generic-03.webp",".\public\media\parts\alternator\generic-03.webp","Poulie et connecteurs","Photo catalogue photoréaliste d’un(e) Alternateur, Poulie et connecteurs, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"7","brake-disc","Disque de frein","generic-01.webp",".\public\media\parts\brake-disc\generic-01.webp","Vue 3/4","Photo catalogue photoréaliste d’un(e) Disque de frein, Vue 3/4, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"8","brake-disc","Disque de frein","generic-02.webp",".\public\media\parts\brake-disc\generic-02.webp","Vue de face","Photo catalogue photoréaliste d’un(e) Disque de frein, Vue de face, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"9","brake-disc","Disque de frein","generic-03.webp",".\public\media\parts\brake-disc\generic-03.webp","Ventilation et moyeu","Photo catalogue photoréaliste d’un(e) Disque de frein, Ventilation et moyeu, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
"10","brake-pad","Plaquettes de frein","generic-01.webp",".\public\media\parts\brake-pad\generic-01.webp","Jeu complet","Photo catalogue photoréaliste d’un(e) Plaquettes de frein, Jeu complet, pièce automobile seule, détourée, fond transparent, sans marque, sans logo, sans texte, éclairage studio homogène, ombre légère, format carré 1024 x 1024."
