"Id","Famille","Catégorie","Dossier"
"battery","Batterie","Électricité",".\public\media\parts\battery"
"starter","Démarreur","Démarrage",".\public\media\parts\starter"
"alternator","Alternateur","Électricité",".\public\media\parts\alternator"
"brake-pad","Plaquettes de frein","Freinage",".\public\media\parts\brake-pad"
"brake-disc","Disque de frein","Freinage",".\public\media\parts\brake-disc"
"brake-caliper","Étrier de frein","Freinage",".\public\media\parts\brake-caliper"
"brake-hose","Flexible de frein","Freinage",".\public\media\parts\brake-hose"
"brake-master-cylinder","Maître-cylindre","Freinage",".\public\media\parts\brake-master-cylinder"
"shock-absorber","Amortisseur","Suspension",".\public\media\parts\shock-absorber"
"coil-spring","Ressort de suspension","Suspension",".\public\media\parts\coil-spring"
"control-arm","Triangle de suspension","Suspension",".\public\media\parts\control-arm"
"ball-joint","Rotule de suspension","Suspension",".\public\media\parts\ball-joint"
"stabilizer-link","Biellette de barre stabilisatrice","Suspension",".\public\media\parts\stabilizer-link"
"wheel-bearing","Roulement de roue","Roues",".\public\media\parts\wheel-bearing"
"wheel-hub","Moyeu de roue","Roues",".\public\media\parts\wheel-hub"
"cv-joint","Joint homocinétique","Transmission",".\public\media\parts\cv-joint"
"drive-shaft","Cardan","Transmission",".\public\media\parts\drive-shaft"
"clutch","Kit d’embrayage","Transmission",".\public\media\parts\clutch"
"flywheel","Volant moteur","Transmission",".\public\media\parts\flywheel"
"gearbox-mount","Support de boîte","Transmission",".\public\media\parts\gearbox-mount"
"engine-mount","Support moteur","Moteur",".\public\media\parts\engine-mount"
"timing-belt","Courroie de distribution","Moteur",".\public\media\parts\timing-belt"
"timing-chain","Chaîne de distribution","Moteur",".\public\media\parts\timing-chain"
"accessory-belt","Courroie d’accessoires","Moteur",".\public\media\parts\accessory-belt"
"belt-tensioner","Galet tendeur","Moteur",".\public\media\parts\belt-tensioner"
"water-pump","Pompe à eau","Refroidissement",".\public\media\parts\water-pump"
"thermostat","Thermostat","Refroidissement",".\public\media\parts\thermostat"
"radiator","Radiateur moteur","Refroidissement",".\public\media\parts\radiator"
"cooling-fan","Ventilateur de refroidissement","Refroidissement",".\public\media\parts\cooling-fan"
"expansion-tank","Vase d’expansion","Refroidissement",".\public\media\parts\expansion-tank"
"fuel-pump","Pompe à carburant","Carburant",".\public\media\parts\fuel-pump"
"fuel-filter","Filtre à carburant","Filtration",".\public\media\parts\fuel-filter"
"injector","Injecteur","Injection",".\public\media\parts\injector"
"ignition-coil","Bobine d’allumage","Allumage",".\public\media\parts\ignition-coil"
"spark-plug","Bougie d’allumage","Allumage",".\public\media\parts\spark-plug"
"glow-plug","Bougie de préchauffage","Préchauffage",".\public\media\parts\glow-plug"
"air-filter","Filtre à air","Filtration",".\public\media\parts\air-filter"
"oil-filter","Filtre à huile","Filtration",".\public\media\parts\oil-filter"
"cabin-filter","Filtre d’habitacle","Filtration",".\public\media\parts\cabin-filter"
"egr-valve","Vanne EGR","Dépollution",".\public\media\parts\egr-valve"
"dpf","Filtre à particules","Échappement",".\public\media\parts\dpf"
"catalytic-converter","Catalyseur","Échappement",".\public\media\parts\catalytic-converter"
"lambda-sensor","Sonde lambda","Capteurs",".\public\media\parts\lambda-sensor"
"maf-sensor","Débitmètre d’air","Capteurs",".\public\media\parts\maf-sensor"
"map-sensor","Capteur de pression d’admission","Capteurs",".\public\media\parts\map-sensor"
"crankshaft-sensor","Capteur de vilebrequin","Capteurs",".\public\media\parts\crankshaft-sensor"
"camshaft-sensor","Capteur d’arbre à cames","Capteurs",".\public\media\parts\camshaft-sensor"
"turbocharger","Turbocompresseur","Suralimentation",".\public\media\parts\turbocharger"
"intercooler","Échangeur d’air","Suralimentation",".\public\media\parts\intercooler"
"ac-compressor","Compresseur de climatisation","Climatisation",".\public\media\parts\ac-compressor"
